Variable,Variable label
,
total_hr_Sum                                                                                                                                                                       ,Total time reported (hrs/d)
gap_tot_hr_Sum                                                                                                                                                           ,Total gap time (hrs/d)
private_notsay_hr_Sum                                                                                                                                                 ,Total private time unknown (hrs/d)
overlaps_time_Sum                                                                                                                                           ,Total overlap time (fixed; hrs/d)
bed_hr_Sum                                                                                                                                                                          ,Total in-bed time (hrs/d)
missing_recalls_sum                                                                                                                           ,Number of missing recalls (number/d)    
bed_METhr_Sum                                                                                                                                               ,Total in-bed energy (MET-hrs/d)                                
bed_n_Sum                                                                                                                                                             ,Number of in-bed episodes (number/d)
                                                                                                                                                                                                                   ,
sed_hr_Sum                                                                                                                                                                ,Total sedentary time (hrs/d)
sed_METhr_Sum                                                                                                                                                            ,Total sedentary energy (MET-hrs/d)
sed_n_Sum                                                                                                                                                               ,Number of sedentary episodes (number/d)
                                                                                                                                                                                                                   ,
act_hr_Sum                                                                                                                                                                        ,Total active time (hrs/d)
act_METhr_Sum                                                                                                                                                            ,Active energy (MET-hrs/d)   
act_n_Sum                                                                                                                                                            , Number of active episodes (number/d)
act_light_hr_Sum                                                                                                                                                                   , Active light time (hrs/d)
act_mod_hr_Sum                                                                                                                      ,Active moderate time (hrs/d)                                         
act_vig_hr_Sum                                                                                                                                                     , Active vigorous time (hrs/d)
act_light_n_Sum                                                                                                                       , Number of active light episodes (number/d)
act_mod_n_Sum                                                                                                                             , Number active moderate episodes (number/d)
act_vig_n_Sum                                                                                                                 , Number of active vigorous episodes (number/d)
mixed_n_Sum                                                                                                                                                                          ,Number of mixed activities
act_light_METhr_Sum                                                                                                                                               , Active light energy (MET-hrs/d)
act_mod_METhr_Sum                                                                                                                                                     , Active moderate energy time (hrs/d)
act_vig_METhr_Sum                                                                                                                                                    , Active vigorous energy time (hrs/d)
act_tot_methr_Sum                                                                                                                                                    ,Total active energy (MET-hrs/d)
                                                                                                                                                                                                                   ,
bednap_bed_hr_Sum                                                                                                                                                        , Total in-bed time (hrs/d) 
bednap_nap_hr_Sum                                                                                                                                                        ,Total napping time (hrs/d)
bednap_nap_METhr_sum                                                                                                                                              ,Total napping energy (MET-hrs/d) 
bednap_bed_METhr_sum                                                                                                                                                          ,Total in-bed energy (MET-hrs/d)
                                                                                                                                                                                                                   ,
private_tot_hr_Sum                                                                                                                                                                   ,Total private time (hrs/d)
private_sed_hr_Sum                                                                                                                                                           ,Private sedentary time (hrs/d)
private_act_hr_Sum                                                                                                                       ,Private active time (hrs/d)
private_light_hr_Sum                                                                                                                                                             ,Private light time (hrs/d)
private_mod_hr_Sum                                                                                                                                                                ,Private moderate time (hrs/d)
private_vig_hr_Sum                                                                                                                                                                ,Private vigorous time (hrs/d)
private_tot_methr_Sum                                                                                                                                                        ,Total private energy (MET-hrs/d)
                                                                                                                                                                                                                   ,
personalcare_tot_hr_Sum                                                                                                                                              ,Total personal time (hrs/d)              
personalcare_sed_hr_Sum                                                                                                                                              ,Personal sedentary time (hrs/d)
"personalcare_act_hr_Sum =""Personal active time (hrs/d)""                                                                                                                                                            ",Personal active time (hrs/d)
"personalcare_light_hr_Sum =""Personal light time (hrs/d)""                                                                                                                                                           ",Personal light time (hrs/d)
personalcare_tot_methr_Sum                                                                                                                                     ,Total personal energy (MET-hrs/d)             
                                                                                                                                                                                                                   ,
leisure_tot_hr_Sum                                                                                                                                                        ,Total leisure time (hrs/d)
leisure_sed_hr_Sum                                                                                                                                  ,Leisure sedentary time (hrs/d)
leisure_act_hr_Sum                                                                                         ,Leisure active time (hrs/d)
leisure_light_hr_Sum                                                                                                                                       ,Leisure light time (hrs/d)
leisure_mod_hr_Sum                                                                                                                              ,Leisure moderate time (hrs/d)
leisure_vig_hr_Sum                                                                                                                             ,Leisure vigorous time (hrs/d)
leisure_tot_methr_Sum                                                                                                                               ,Total leisure energy time (MET-hrs/d)
                                                                                                                                                                                                                   ,
work_tot_hr_Sum                                                                                                                                                                  ,Total work time (hrs/d)
work_sed_hr_Sum                                                                                                                                    , Work sedentary time (hrs/d)
work_act_hr_Sum                                                                                                                                                  , Work active time (hrs/d)
work_light_hr_Sum                                                                                                                                                        ,Work light time (hrs/d)
work_mod_hr_Sum                                                                                                                                            ,Work moderate time (hrs/d)
work_vig_hr_Sum                                                                                                                                        ,Work vigorous time (hrs/d)
work_tot_methr_Sum                                                                                                                                               ,Total work energy (MET-hrs/d)
work_yn                                                                                                                                                                                        ,Workday
                                                                                                                                                                                                                   ,
