PID,WEIGHT,VPSU,VSTRAT,SURVEYDATE,DURATION,AGE,RACETHNICITY,EDUC,EMPLOY,GENDER,HH01,HH25,HH612,HH1317,HH18OV,HHSIZE,INCOME,MARITAL,METRO,STATE,REGION9,Q1,Q2,Q3,Q3_rc,Q4,Q4_rc,Q5,Q6,Q7,Q8_1,Q8_2,Q9,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q16,Q17,Q20_1,Q20_1_rc,Q20_2,Q20_2_rc,Q21,Q21_rc
1000039,0.677677321,2,31,10/16/2019,5,74,1,12,5,2,0,0,0,0,1,1,6,3,1,OH,3,1,2,94,23:15:00,27,6:30:00,1,1,1,7,30,1,3,60,2,60,2,5,10,3,7,5,5,5,5,125,125
1000039,1.037523563,2,31,10/16/2019,5,74,1,12,5,2,0,0,0,0,1,1,6,3,1,OH,3,1,2,94,23:15:00,27,6:30:00,1,1,1,7,30,1,3,60,2,60,2,5,10,3,7,5,5,5,5,125,125
1000044,2.893038791,2,44,10/16/2019,4,35,1,9,7,2,0,0,1,2,2,5,10,1,1,NY,2,2,1,96,23:45:00,31,7:30:00,1,2,3,7,45,2,7,120,3,60,2,3,98,6,6,5,5,5,5,219,219
1000046,0.517766057,2,18,10/16/2019,3,38,4,11,2,1,0,0,0,0,4,4,6,5,1,CA,9,3,1,93,23:00:00,35,8:30:00,2,3,5,8,0,3,2,10,3,20,1,0,30,5,4,5,5,1,1,190,190
1000046,0.958036369,2,18,10/16/2019,3,38,4,11,2,1,0,0,0,0,4,4,6,5,1,CA,9,3,1,93,23:00:00,35,8:30:00,2,3,5,8,0,3,2,10,3,20,1,0,30,5,4,5,5,1,1,190,190
1000061,1.377268961,2,11,10/16/2019,4,32,6,12,1,1,0,0,0,0,2,2,15,6,1,NJ,2,3,2,2,0:15:00,29,7:00:00,1,0,0,6,30,2,4,100,1,30,5,10,98,3,1,6,6,0,0,160,160
1000061,0.672044527,2,11,10/16/2019,4,32,6,12,1,1,0,0,0,0,2,2,15,6,1,NJ,2,3,2,2,0:15:00,29,7:00:00,1,0,0,6,30,2,4,100,1,30,5,10,98,3,1,6,6,0,0,160,160
1000065,0.556417768,2,11,10/16/2019,5,64,1,12,5,2,0,0,0,0,1,1,9,2,1,NY,2,2,1,1,0:00:00,38,9:15:00,1,3,30,8,45,1,0,,0,,0,5,0,6,6,4,4,10,10,190,190
1000065,0.810829207,2,11,10/16/2019,5,64,1,12,5,2,0,0,0,0,1,1,9,2,1,NY,2,2,1,1,0:00:00,38,9:15:00,1,3,30,8,45,1,0,,0,,0,5,0,6,6,4,4,10,10,190,190
1000072,2.71542001,2,3,10/16/2019,5,51,4,9,1,1,0,0,0,3,3,6,7,3,1,FL,5,3,1,82,20:15:00,16,3:45:00,2,1,30,7,98,3,2,60,0,,0,4,98,4,3,5,5,9,9,250,250
1000075,0.676274941,2,26,10/16/2019,9,67,1,10,5,2,0,0,0,0,2,2,3,3,1,CO,8,4,2,83,20:30:00,27,6:30:00,2,1,10,9,0,1,4,120,1,30,0,4,30,4,4,5,5,3,3,150,150
1000080,0.669778045,2,11,10/16/2019,4,49,2,10,1,1,0,0,0,0,3,3,11,1,1,NJ,2,3,1,93,23:00:00,25,6:00:00,1,2,5,6,50,2,3,60,1,60,3,6,0,4,5,5,5,11,11,188,188
1000080,0.681835465,2,11,10/16/2019,4,49,2,10,1,1,0,0,0,0,3,3,11,1,1,NJ,2,3,1,93,23:00:00,25,6:00:00,1,2,5,6,50,2,3,60,1,60,3,6,0,4,5,5,5,11,11,188,188
1000084,0.531245687,2,21,10/16/2019,5,27,4,11,1,1,0,0,0,0,3,3,11,5,1,TX,7,3,1,89,22:00:00,11,2:30:00,1,2,3,4,30,1,2,60,3,100,3,6,0,3,3,5,5,9,9,205,205
1000084,0.454790606,2,21,10/16/2019,5,27,4,11,1,1,0,0,0,0,3,3,11,5,1,TX,7,3,1,89,22:00:00,11,2:30:00,1,2,3,4,30,1,2,60,3,100,3,6,0,3,3,5,5,9,9,205,205
1000100,3.589590561,1,53,10/16/2019,8,29,2,9,2,2,0,0,0,0,1,3,2,5,1,NV,8,4,3,87,21:30:00,27,6:30:00,1,4,5,9,0,2,3,40,1,20,2,2,9,3,1,5,5,3,3,264,264
1000100,2.799777725,1,53,10/16/2019,8,29,2,9,2,2,0,0,0,0,1,3,2,5,1,NV,8,4,3,87,21:30:00,27,6:30:00,1,4,5,9,0,2,3,40,1,20,2,2,9,3,1,5,5,3,3,264,264
1000101,0.602518924,2,49,10/16/2019,12,61,1,10,2,2,0,0,0,0,1,1,4,2,0,IA,4,3,3,9,2:00:00,37,9:00:00,1,98,998,6,30,1,77,,,,0,12,98,6,1,5,5,7,7,133,133
1000119,2.072724287,2,26,10/16/2019,3,27,1,9,1,1,0,0,0,0,2,2,9,6,1,CO,8,4,3,91,22:30:00,27,6:30:00,1,1,2,7,0,2,0,,0,,0,14,98,5,6,5,5,9,9,140,140
1000120,0.985171155,1,29,10/16/2019,3,26,2,10,1,2,0,2,0,0,3,5,11,1,1,FL,5,3,1,96,23:45:00,18,4:15:00,1,98,998,98,98,3,6,73,1,60,1,3,98,3,1,5,5,4,4,193,193
1000158,3.751458553,1,4,10/16/2019,28,23,1,9,7,2,0,0,0,0,6,6,7,5,1,AL,6,3,3,20,4:45:00,45,11:00:00,2,0,20,6,0,2,2,10,0,,0,24,98,6,4,5,5,4,4,998,193
1000159,0.922825852,2,5,10/16/2019,27,33,2,8,1,1,0,0,0,2,2,4,11,3,1,IN,3,3,1,13,3:00:00,19,4:30:00,2,0,120,1,20,3,5,120,3,60,3,6,98,6,6,5,5,5,5,180,180
1000159,1.919352107,2,5,10/16/2019,27,33,2,8,1,1,0,0,0,2,2,4,11,3,1,IN,3,3,1,13,3:00:00,19,4:30:00,2,0,120,1,20,3,5,120,3,60,3,6,98,6,6,5,5,5,5,180,180
1000160,0.322660682,1,8,10/16/2019,3,36,1,13,1,1,0,0,0,0,2,2,13,1,1,CO,8,2,3,91,22:30:00,27,6:30:00,1,1,5,7,55,1,3,15,3,20,3,11,0,2,3,6,6,2,2,213,213
1000160,0.275057779,1,8,10/16/2019,3,36,1,13,1,1,0,0,0,0,2,2,13,1,1,CO,8,2,3,91,22:30:00,27,6:30:00,1,1,5,7,55,1,3,15,3,20,3,11,0,2,3,6,6,2,2,213,213
1000161,0.947724864,2,8,10/16/2019,4,59,1,14,5,1,0,0,0,0,2,2,18,1,0,TX,7,2,2,85,21:00:00,22,5:15:00,1,1,10,8,30,1,7,360,2,60,0,4,98,5,1,6,6,3,3,245,245
1000169,1.448852235,2,1,10/16/2019,3,21,1,9,1,1,0,0,0,0,4,4,8,5,1,NY,2,1,1,15,3:30:00,46,11:15:00,1,1,5,7,45,1,3,30,2,15,2,8,98,7,6,6,6,98,3,150,150
1000175,1.088854411,2,18,10/16/2019,8,48,4,12,2,1,0,0,0,0,7,6,14,5,1,CA,9,4,2,1,0:00:00,26,6:15:00,2,2,0,6,0,3,5,20,2,15,1,7,0,5,3,5,5,4,4,160,160
